ANO_ELEICAO,ZONA,NUMERO_LOCAL_VOTACAO,LOCAL_VOTACAO,BAIRRO
2014,186,1155,COLEGIO ESTADUAL PROFESSOR PLINIO ALVES MONTEIRO TOURINHO,ATUBA
2014,186,1139,COLEGIO ESTADUAL RUI BARBOSA,CANGUIRI
2014,186,1112,COLEGIO ESTADUAL VEREADOR RAULINO COSTACURTA,MARACANA
2014,186,1015,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA EMBRAPA FLORESTAS-EMBRAPA,SAO DIMAS
2014,186,1031,ESCOLA MUNICIPAL AGRIPINO JOAO TOSIN,RIO VERDE
2014,186,1066,ESCOLA MUNICIPAL ANGELO FALAVINHA DALPRA,GUARAITUBA
2014,186,1317,ESCOLA MUNICIPAL ANTONIO ANDRE JOHNSSON,MONZA
2014,186,1325,ESCOLA MUNICIPAL ANTONIO CAVASSIN,MARACANA
2014,186,1333,ESCOLA MUNICIPAL ARLINDO ANDRETTA,ATUBA
2014,186,1260,ESCOLA MUNICIPAL BARAO DO MAUA,MAUA
2014,186,1198,ESCOLA MUNICIPAL DR MANOEL COSTACURTA,ATUBA
2014,186,1228,ESCOLA MUNICIPAL HEITOR VILLA LOBOS,MARACANA
2014,186,1244,ESCOLA MUNICIPAL JARDIM ANA MARIA,PALMITAL
2014,186,1252,ESCOLA MUNICIPAL JARDIM DAS GRACAS,DAS GRACAS
2014,186,1074,ESCOLA MUNICIPAL JOHN KENNEDY,CAMPO PEQUENO
2014,186,1201,ESCOLA MUNICIPAL JOSE FREDERICO PAULO WEIGERT,RINCAO
2014,186,1236,ESCOLA MUNICIPAL JOVINO DO ROSARIO,PALMITAL
2014,186,1090,ESCOLA MUNICIPAL MONTEIRO LOBATO,ATUBA
2014,186,1104,ESCOLA MUNICIPAL NOSSA SENHORA DE FATIMA,FATIMA
2014,186,1058,ESCOLA MUNICIPAL PADRE DURVAL SECCHI,GUARAITUBA
2014,186,1210,ESCOLA MUNICIPAL PADRE JONES JOAO TIBOLLA,PALOMA
2014,186,1180,ESCOLA MUNICIPAL PARQUE MONTE CASTELO,SAO DIMAS
2014,186,1163,ESCOLA MUNICIPAL SANTA ISABEL,GUARAITUBA
2014,186,1147,ESCOLA MUNICIPAL SEVERO RIBEIRO DE CAMARGO,SAO DIMAS
2014,186,1120,ESCOLA RURAL MUNICIPAL IMBUIAL DA ROSEIRA,ROSEIRA
2014,186,1082,FACULDADE EDUCACIONAL DE COLOMBO - FAEC,RIO VERDE
2014,186,1171,SALAO DA PAROQUIA DE COLONIA FARIA,COLONIA FARIA
2016,49,1341,CAIC- ESCOLA MUNICIPAL PEDRO VIRIATO PARIGOT DE SOUZA,SAO GABRIEL
2016,49,1317,COLEGIO CENECISTA JOAO BATISTA LOVATO SOBRINHO,CENTRO
2016,49,1066,COLEGIO ESTADUAL BENTO MUNHOZ DA ROCHA NETTO,ROCA GRANDE
2016,49,1082,COLEGIO ESTADUAL DOM JOAO BOSCO,ROCA GRANDE
